label,파종기,정식기,초장,생과중,성숙기..착색기.,개화기,착과형태,과폭,과장,천립중,주경장,엽장,엽폭,과실.속살의.두께,과실.심실의.수,절간장
3,421,603,NA,NA,NA,622,2,NA,10.2,NA,35,NA,NA,1.8,NA,NA
3,421,603,NA,NA,NA,624,2,NA,9.2,NA,37,NA,NA,1.4,NA,NA
3,421,603,NA,NA,NA,626,2,NA,5.4,NA,33.4,NA,NA,1.1,NA,NA
3,421,603,NA,NA,NA,630,2,NA,9.4,NA,32,NA,NA,2.4,NA,NA
3,421,603,NA,NA,NA,627,2,NA,9.4,NA,26,NA,NA,1.5,NA,NA
2,306,508,175,11.2,725,524,2,1.9,7.7,NA,NA,NA,NA,1.9,NA,NA
1,312,507,144,NA,NA,NA,4,NA,9.8,NA,NA,NA,NA,NA,NA,NA
1,312,507,150,NA,NA,NA,4,NA,8.7,NA,NA,NA,NA,NA,NA,NA
3,314,429,200,12.9,NA,528,2,2.4,7.1,6.5,27,12,5.7,2.1,NA,NA
1,312,507,143.7,NA,NA,NA,2,NA,8.7,NA,NA,NA,NA,NA,NA,NA
1,312,507,138.7,NA,NA,NA,2,NA,11.3,NA,NA,NA,NA,NA,NA,NA
4,312,507,107,NA,NA,NA,2,NA,7.1,NA,NA,NA,NA,NA,NA,NA
1,225,514,NA,NA,NA,615,4,1.4,4.4,NA,36.3,11.4,4.5,1.85,3,7
99,225,514,NA,NA,NA,526,4,1.3,7,NA,29,8.9,3.6,1.37,2,8
1,421,603,NA,NA,NA,720,2,NA,NA,NA,37,NA,NA,1.9,NA,NA
1,312,507,151,NA,NA,NA,4,NA,10.7,NA,NA,NA,NA,NA,NA,NA
3,421,603,NA,NA,NA,620,2,NA,8.6,NA,30,NA,NA,2.9,NA,NA
3,421,603,NA,NA,NA,625,2,NA,14.2,NA,30,NA,NA,1.4,NA,NA
3,421,603,NA,NA,NA,625,2,NA,10,NA,36,NA,NA,1.8,NA,NA
3,421,603,NA,NA,NA,701,2,NA,14.5,NA,38.5,NA,NA,1.5,NA,NA
1,312,507,196.7,NA,NA,NA,4,NA,3.8,NA,NA,NA,NA,NA,NA,NA
1,312,507,182.3,NA,NA,NA,2,NA,4.4,NA,NA,NA,NA,NA,NA,NA
3,421,603,NA,NA,NA,703,2,NA,7.9,NA,41.5,NA,NA,1.7,NA,NA
1,312,507,137.3,NA,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA
1,312,507,176.7,NA,NA,NA,2,NA,6.7,NA,NA,NA,NA,NA,NA,NA
1,306,508,175,15.1,725,522,2,2.1,11.5,NA,NA,NA,NA,1.6,NA,NA
1,306,508,175,20.1,725,607,2,2.4,7.7,NA,NA,NA,NA,2.6,NA,NA
1,306,508,175,5.5,709,607,2,1.5,8.3,NA,NA,NA,NA,1.5,NA,NA
3,NA,NA,116,NA,NA,NA,2,NA,10.9,8.1,23.5,NA,NA,3.5,2.4,NA
1,NA,NA,101,NA,NA,620,2,NA,9.8,NA,15,NA,NA,5.7,3,NA
1,NA,NA,91,NA,NA,604,2,NA,14.7,NA,22,NA,NA,2.6,2,NA
3,NA,NA,102,NA,NA,604,2,NA,13.6,NA,21,NA,NA,3.8,2.8,NA
3,224,430,75,NA,NA,516,2,NA,7.7,6.4,0.8,9.3,3.9,NA,NA,4.4
3,224,430,87,NA,NA,516,2,NA,5.2,7,0.7,7.9,3.3,NA,NA,3.7
1,302,418,99,NA,NA,523,2,NA,6.8,6.7,26,7.8,3.9,NA,NA,5.2
