label,파종기,정식기,초장,생과중,성숙기..착색기.,개화기,착과형태,과폭,과장,천립중,주경장,엽장,엽폭,과실.속살의.두께,과실.심실의.수,절간장
1,312,507,22.7,NA,NA,NA,4,NA,10.7,NA,NA,NA,NA,NA,NA,NA
3,224,430,79,NA,NA,516,2,NA,5.8,6.8,0.8,4.6,2.3,NA,NA,6.1
3,421,603,NA,NA,NA,620,2,NA,8,NA,24,NA,NA,1.4,NA,NA
3,224,430,77,NA,NA,516,2,NA,8.4,6.7,0.8,5.4,3.3,NA,NA,2.6
1,314,429,140,6.2,NA,526,2,1.9,5.7,5.5,26,7.7,3.8,1.1,NA,NA
4,224,430,77,NA,NA,516,1,NA,5.7,7.2,0.9,8.3,4.2,NA,NA,3.3
3,224,430,94,NA,NA,516,2,NA,5.3,6.5,0.9,6.6,3.7,NA,NA,5.9
1,314,429,140,6.8,NA,529,2,1.8,6.4,6.5,31,10.2,4,1.3,NA,NA
3,224,430,85,NA,NA,516,2,NA,6.1,7.4,1,5.5,3.4,NA,NA,3.3
1,314,429,140,12.4,NA,522,2,2.3,6.7,8.5,27,8.3,4,2.1,NA,NA
1,312,507,157.3,NA,NA,NA,4,NA,2.6,NA,NA,NA,NA,NA,NA,NA
3,421,603,NA,NA,NA,624,2,NA,10.5,NA,39,NA,NA,2,NA,NA
3,421,603,NA,NA,NA,622,2,NA,8,NA,27,NA,NA,1.9,NA,NA
1,312,507,84.7,NA,NA,NA,4,NA,9.1,NA,NA,NA,NA,NA,NA,NA
3,312,507,167.3,NA,NA,NA,2,NA,5.1,NA,NA,NA,NA,NA,NA,NA
1,225,NA,100,NA,NA,630,2,0.8,6.3,NA,19.2,13.7,6.2,1.1,2.2,11.5
1,312,429,156.7,3.2,718,610,1,1.3,6,NA,41,18.9,9.7,0.6,NA,9.7
1,225,NA,146,NA,NA,630,2,1.4,8.6,NA,30.7,13.1,7,1.5,2,9.4
1,302,418,111,NA,NA,601,2,NA,3.1,6,24,9.7,4.3,NA,NA,5.2
1,302,418,111,NA,NA,601,2,NA,3.1,6,24,9.7,4.3,NA,NA,5.2
1,312,429,126.7,NA,725,618,1,NA,NA,NA,44.3,23.4,11.2,NA,NA,10.3
3,312,507,187.7,NA,NA,NA,2,NA,6.6,NA,NA,NA,NA,NA,NA,NA
2,314,429,160,6.3,NA,530,3,1.5,6.5,7.5,25,8.7,3.7,1,NA,NA
3,312,507,238,NA,NA,NA,1,NA,4.4,NA,NA,NA,NA,NA,NA,NA
3,227,507,169.6,NA,NA,623,2,NA,6,7.5,26.1,NA,NA,1.5,3,NA
1,225,NA,101.7,NA,NA,630,2,1,4.2,NA,24.9,11.6,4.6,1.5,2,10.9
1,312,507,212.3,NA,NA,NA,2,NA,5.9,NA,NA,NA,NA,NA,NA,NA
1,225,NA,125,NA,NA,630,2,1.1,9.5,NA,17.6,12.9,6.6,1.2,2,11.5
1,312,507,127,NA,NA,NA,4,NA,7.9,NA,NA,NA,NA,NA,NA,NA
3,302,418,151,NA,NA,527,2,NA,10.6,6.1,33,10.1,5.2,NA,NA,9.9
3,302,418,151,NA,NA,527,2,NA,10.6,6.1,33,10.1,5.2,NA,NA,9.9
3,421,603,NA,NA,NA,622,2,NA,6.8,NA,33,NA,NA,1.5,NA,NA
1,421,603,NA,NA,NA,629,2,NA,6.8,NA,24,NA,NA,1.5,NA,NA
3,421,603,NA,NA,NA,702,2,NA,13.5,NA,24,NA,NA,1.8,NA,NA
3,421,603,NA,NA,NA,629,2,NA,8.2,NA,32,NA,NA,2.5,NA,NA
1,312,507,107.7,NA,NA,NA,2,NA,13.8,NA,NA,NA,NA,NA,NA,NA
3,421,603,NA,NA,NA,629,2,NA,11.5,NA,31.5,NA,NA,1.7,NA,NA
1,225,NA,102.5,NA,NA,616,2,1.8,10.3,NA,22,9.2,3.9,2.2,2.8,9.6
3,312,507,168,NA,NA,NA,2,NA,9.8,NA,NA,NA,NA,NA,NA,NA
1,314,429,170,10.3,NA,602,2,1.6,8.9,5.5,25,9.4,3.6,2,NA,NA
1,225,NA,100,NA,NA,708,2,1.6,7.48,NA,30.6,13.2,7.1,1.8,2.4,13.8
2,314,429,200,10.1,NA,602,2,1.7,8.3,5.5,26,9.8,3.7,1.8,NA,NA
1,314,429,100,14,NA,602,2,1.5,11.4,6.5,28,8.7,3.5,1.9,NA,NA
2,314,429,150,10.5,NA,602,2,1.8,9.3,6,27,10.3,4,1.5,NA,NA
2,312,429,45.7,29.6,702,512,2,2.2,15.1,NA,16.7,15.9,7.8,2.9,NA,5.7
1,312,429,48,50.8,720,521,2,4.3,9.8,NA,14.8,16.7,8.6,4.9,NA,5.3
2,314,429,130,12.9,NA,602,2,2.4,6.1,4.5,13,11.2,5.3,2.5,NA,NA
3,312,507,171.7,NA,NA,NA,4,NA,8.1,NA,NA,NA,NA,NA,NA,NA
1,312,507,206.3,NA,NA,NA,1,NA,5.1,NA,NA,NA,NA,NA,NA,NA
1,314,429,170,4.5,NA,615,1,1.2,4.8,4,62,10.8,6.3,1.7,NA,NA
1,312,507,200,NA,NA,NA,1,NA,7.6,NA,NA,NA,NA,NA,NA,NA
1,312,507,169.3,NA,NA,NA,1,NA,6.6,NA,NA,NA,NA,NA,NA,NA
1,421,603,NA,NA,NA,701,2,NA,7.8,NA,33,NA,NA,2,NA,NA
1,312,429,143.3,12.6,710,523,2,2.2,7.5,NA,13.5,15,6.4,2,NA,8.3
3,312,507,124.3,NA,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA
3,225,NA,108,NA,NA,708,2,2.1,8.4,NA,25.6,17.5,7.5,2,2.4,11.9
5,312,507,155.3,NA,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA
3,312,507,171,NA,NA,NA,2,NA,11.8,NA,NA,NA,NA,NA,NA,NA
1,312,507,120,NA,NA,NA,2,NA,10.4,NA,NA,NA,NA,NA,NA,NA
1,225,NA,40,NA,NA,618,2,1.5,11.9,NA,16.4,9.1,4.4,1.9,2,6.5
1,312,507,101.3,NA,NA,NA,2,NA,12.5,NA,NA,NA,NA,NA,NA,NA
3,312,507,110,NA,NA,NA,2,NA,13.3,NA,NA,NA,NA,NA,NA,NA
5,312,507,140,NA,NA,NA,4,NA,3.3,NA,NA,NA,NA,NA,NA,NA
3,312,507,72.3,NA,NA,NA,2,NA,5.5,NA,NA,NA,NA,NA,NA,NA
3,312,507,111.7,NA,NA,NA,2,NA,5.9,NA,NA,NA,NA,NA,NA,NA
4,312,507,173,NA,NA,NA,4,NA,5.8,NA,NA,NA,NA,NA,NA,NA
3,312,507,197.3,NA,NA,NA,2,NA,2.7,NA,NA,NA,NA,NA,NA,NA
1,421,603,NA,NA,NA,624,1,NA,2.9,NA,41,NA,NA,1.4,NA,NA
1,314,429,200,2,NA,605,1,1.3,3.3,2,28,8,3.8,1.3,NA,NA
3,312,507,178.3,NA,NA,NA,4,NA,7.1,NA,NA,NA,NA,NA,NA,NA
1,314,429,160,8.1,NA,529,2,1.8,6.5,6.5,25,10.2,4,1.9,NA,NA
1,225,NA,45,NA,NA,618,2,1.4,3.3,NA,22.9,8.5,3.4,1.7,2.4,3.8
3,312,507,96,NA,NA,NA,2,NA,7.2,NA,NA,NA,NA,NA,NA,NA
1,225,NA,135,NA,NA,618,4,2.2,7.3,NA,20,12.9,5.8,1.8,2.8,7.1
1,312,507,99.3,NA,NA,NA,1,NA,10.9,NA,NA,NA,NA,NA,NA,NA
3,312,507,97,NA,NA,NA,2,NA,6.4,NA,NA,NA,NA,NA,NA,NA
4,312,507,162,NA,NA,NA,1,NA,1.3,NA,NA,NA,NA,NA,NA,NA
1,312,507,202.7,NA,NA,NA,2,NA,3.3,NA,NA,NA,NA,NA,NA,NA
1,312,507,169.3,NA,NA,NA,2,NA,11.2,NA,NA,NA,NA,NA,NA,NA
4,312,507,92,NA,NA,NA,1,NA,7.2,NA,NA,NA,NA,NA,NA,NA
4,312,507,206,NA,NA,NA,2,NA,7.2,NA,NA,NA,NA,NA,NA,NA
4,312,507,78.5,NA,NA,NA,1,NA,7.2,NA,NA,NA,NA,NA,NA,NA
1,312,507,162.7,NA,NA,NA,2,NA,12.9,NA,NA,NA,NA,NA,NA,NA
1,312,507,84,NA,NA,NA,2,NA,10.2,NA,NA,NA,NA,NA,NA,NA
1,312,507,108,NA,NA,NA,2,NA,9.6,NA,NA,NA,NA,NA,NA,NA
1,312,507,116.7,NA,NA,NA,2,NA,13.7,NA,NA,NA,NA,NA,NA,NA
1,312,507,136.3,NA,NA,NA,2,NA,15.1,NA,NA,NA,NA,NA,NA,NA
1,314,429,70,51.1,NA,519,3,4.8,8.6,7,18,12,5.7,4.7,NA,NA
1,312,507,106.3,NA,NA,NA,2,NA,12.5,NA,NA,NA,NA,NA,NA,NA
1,312,507,110,NA,NA,NA,2,NA,12.5,NA,NA,NA,NA,NA,NA,NA
1,312,507,123.7,NA,NA,NA,4,NA,10.2,NA,NA,NA,NA,NA,NA,NA
1,312,507,85,NA,NA,NA,4,NA,9.3,NA,NA,NA,NA,NA,NA,NA
1,314,429,140,44,NA,523,3,4.9,6.5,6.5,16,8.6,4.2,3.1,NA,NA
1,225,NA,78.3,NA,NA,715,2,1.5,3.9,NA,34.6,8.2,4.7,1.1,2.6,6.5
3,312,507,156,NA,NA,NA,4,NA,7.5,NA,NA,NA,NA,NA,NA,NA
4,312,507,36.7,NA,NA,NA,1,NA,5.6,NA,NA,NA,NA,NA,NA,NA
1,312,507,222.3,NA,NA,NA,1,NA,1.4,NA,NA,NA,NA,NA,NA,NA
1,312,429,118.3,0.3,720,610,1,0.7,1.3,NA,30.8,17.7,9.7,0.2,NA,9.3
1,312,507,86.3,NA,NA,NA,2,NA,2.7,NA,NA,NA,NA,NA,NA,NA
3,312,507,124.7,NA,NA,NA,4,NA,9.3,NA,NA,NA,NA,NA,NA,NA
1,312,429,160,3.7,710,530,2,1,5.7,NA,42.7,17,7.2,1.3,NA,11.7
4,312,507,175.7,NA,NA,NA,2,NA,7.6,NA,NA,NA,NA,NA,NA,NA
1,306,508,210,1,814,627,1,0.8,3.5,NA,NA,NA,NA,0.7,NA,NA
