,Cosine_similarity,Jaccard_similarity,Pairwise_distance
Kmeans,0.3493533640784559,0.33534495616333926,0.6949611340460137
DBScan,0.009974116765316565,0.10385179484756238,0.102051309360405
Hierarchy,0.3418785344869254,0.33236776725409434,0.6924709892895539
