,Random Forest,L1 based LinearSVC,L1 based Log Regression,RFE
0,초장,착과형태,착과형태,초장
1,주경장,과장,과장,착과형태
2,개화기,주경장,과실.속살의.두께,과실.속살의.두께
3,,과실.속살의.두께,,
