,Cosine_similarity,Jaccard_similarity,Pairwise_distance
Kmeans,0.3164483931490937,0.2981014523931232,0.7075228910244311
DBScan,0.06450294190647214,0.2074979002779529,-0.04496059978592597
Hierarchy,0.28918611172481773,0.2811244015984176,0.6979839871394694
