,Cosine_similarity,Jaccard_similarity,Pairwise_distance
Kmeans,0.3677704328522175,0.3165108296338613,0.6857998089683263
DBScan,0.009974116765316565,0.10385179484756238,0.102051309360405
Hierarchy,0.3418785344869254,0.33236776725409434,0.6924709892895539
