,ARI score,NMI score,Silhouette score
Kmeans,0.36418968846638944,0.3095401953606087,0.6573031641732715
DBScan,0.013088134892891078,0.10482649179074036,0.10646793373776008
Hierarchy,0.4120950034360805,0.3488697706462587,0.658673704402314
