,Cosine_similarity,Jaccard_similarity,Pairwise_distance
Kmeans,0.372285394224118,0.3154235009039548,0.6643659553969713
DBScan,0.009974116765316565,0.10385179484756238,0.102051309360405
Hierarchy,0.4063622297163261,0.34525093942820406,0.6686025996628983
