,ARI score,NMI score,Silhouette score
Kmeans,0.372285394224118,0.3155847361826452,0.6643659553969713
DBScan,0.009974116765316565,0.10986804232403008,0.102051309360405
Hierarchy,0.4063622297163261,0.34528349375096035,0.6686025996628983
