features_name,importance
과장,0.27884558175317786
주경장,0.1936139067907281
과실.속살의.두께,0.17437791258421576
개화기,0.16215148625991194
파종기,0.07552012653187044
정식기,0.06087936534658788
착과형태,0.05461162073350811
